episode,curriculum_level,scenario,steps,reward,rolling_avg_reward,loss,success_rate,blocked_action_frequency,rollback_count,containment_conflicts,policy_confidence,unsafe_action_count
235,2,REPLAY_ATTACK,12,24.06,-9.14,188.5462,1.00,1.00,12,3,0.1033,12
236,2,FDIA,12,24.06,-11.14,45.5521,1.00,1.00,12,2,0.1042,12
237,2,FDIA,12,49.06,36.14,175.9717,1.00,1.00,12,0,0.1034,12
238,3,COORDINATED_ATTACK,12,-424.38,-9.28,14577.9326,0.00,1.00,12,0,0.4167,12
239,2,REPLAY_ATTACK,12,44.66,-8.72,126.6590,1.00,1.00,12,3,0.1043,12
240,2,FDIA,12,24.06,-10.22,134.9483,1.00,1.00,12,2,0.1045,12
241,2,FDIA,12,24.06,-12.22,183.2057,1.00,1.00,12,1,0.1030,12
242,2,FDIA,12,39.06,-12.72,74.3188,1.00,1.00,12,2,0.1046,12
243,2,FDIA,12,19.06,-12.72,125.1671,1.00,1.00,12,0,0.1001,12
244,2,FDIA,12,39.06,-13.72,84.2180,1.00,1.00,12,0,0.0998,12
245,2,FDIA,12,39.06,-12.22,72.8385,1.00,1.00,12,2,0.0987,12
246,2,FDIA,12,39.06,-10.72,83.0481,1.00,1.00,12,0,0.1026,12
247,2,REPLAY_ATTACK,12,39.06,-11.72,113.9840,1.00,1.00,12,2,0.1012,12
248,2,REPLAY_ATTACK,12,39.06,34.62,71.0815,1.00,1.00,12,1,0.1022,12
249,3,CASCADING_INSTABILITY,12,-423.73,-12.22,200841.6235,0.00,1.00,12,0,0.4167,12
250,2,REPLAY_ATTACK,12,39.85,-10.64,80.4061,1.00,1.00,12,2,0.1019,12
251,2,FDIA,12,24.06,-10.64,175.5952,1.00,1.00,12,0,0.1001,12
252,2,FDIA,12,24.06,-12.14,140.3592,1.00,1.00,12,1,0.0978,12
253,2,FDIA,12,19.06,-12.14,66.2307,1.00,1.00,12,1,0.1017,12
254,2,FDIA,12,29.06,-13.14,81.2005,1.00,1.00,12,1,0.1009,12
255,2,FDIA,12,9.06,-16.14,241.7587,1.00,1.00,12,0,0.1028,12
256,2,REPLAY_ATTACK,12,39.06,-16.14,101.1647,1.00,1.00,12,2,0.0983,12
257,2,FDIA,12,39.06,-16.14,73.4133,1.00,1.00,12,1,0.0974,12
258,2,FDIA,12,39.06,-16.14,83.1157,1.00,1.00,12,0,0.0991,12
259,2,REPLAY_ATTACK,12,39.06,30.14,64.1444,1.00,1.00,12,1,0.0988,12
260,3,CASCADING_INSTABILITY,12,-423.73,-16.22,11281122.4487,0.00,1.00,12,0,0.4167,12
261,2,REPLAY_ATTACK,12,49.85,-13.64,151.7087,1.00,1.00,12,1,0.1012,12
